libc-bin	2.36-9+deb12u10	CVE-2019-1010025	LOW	glibc: information disclosure of heap addresses of pthread_created thread
libc-bin	2.36-9+deb12u10	CVE-2019-9192	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libc-dev-bin	2.36-9+deb12u10	CVE-2010-4756	LOW	glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions
libc-dev-bin	2.36-9+deb12u10	CVE-2018-20796	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libc-dev-bin	2.36-9+deb12u10	CVE-2019-1010022	LOW	glibc: stack guard protection bypass
libc-dev-bin	2.36-9+deb12u10	CVE-2019-1010023	LOW	glibc: running ldd on malicious ELF leads to code execution because of wrong size computation
libc-dev-bin	2.36-9+deb12u10	CVE-2019-1010024	LOW	glibc: ASLR bypass using cache of thread stack and heap
libc-dev-bin	2.36-9+deb12u10	CVE-2019-1010025	LOW	glibc: information disclosure of heap addresses of pthread_created thread
libc-dev-bin	2.36-9+deb12u10	CVE-2019-9192	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libc6	2.36-9+deb12u10	CVE-2010-4756	LOW	glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions
libc6	2.36-9+deb12u10	CVE-2018-20796	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libc6	2.36-9+deb12u10	CVE-2019-1010022	LOW	glibc: stack guard protection bypass
libc6	2.36-9+deb12u10	CVE-2019-1010023	LOW	glibc: running ldd on malicious ELF leads to code execution because of wrong size computation
libc6	2.36-9+deb12u10	CVE-2019-1010024	LOW	glibc: ASLR bypass using cache of thread stack and heap
libc6	2.36-9+deb12u10	CVE-2019-1010025	LOW	glibc: information disclosure of heap addresses of pthread_created thread
libc6	2.36-9+deb12u10	CVE-2019-9192	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libc6-dev	2.36-9+deb12u10	CVE-2010-4756	LOW	glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions
libc6-dev	2.36-9+deb12u10	CVE-2018-20796	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libc6-dev	2.36-9+deb12u10	CVE-2019-1010022	LOW	glibc: stack guard protection bypass
libc6-dev	2.36-9+deb12u10	CVE-2019-1010023	LOW	glibc: running ldd on malicious ELF leads to code execution because of wrong size computation
libc6-dev	2.36-9+deb12u10	CVE-2019-1010024	LOW	glibc: ASLR bypass using cache of thread stack and heap
libc6-dev	2.36-9+deb12u10	CVE-2019-1010025	LOW	glibc: information disclosure of heap addresses of pthread_created thread
libc6-dev	2.36-9+deb12u10	CVE-2019-9192	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libcap2	1:2.66-4	CVE-2025-1390	MEDIUM	libcap: pam_cap: Fix potential configuration parsing error
libcc1-0	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libcc1-0	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libctf-nobfd0	2.40-2	CVE-2017-13716	LOW	binutils: Memory leak with the C++ symbol demangler routine in libiberty
libctf-nobfd0	2.40-2	CVE-2018-20673	LOW	libiberty: Integer overflow in demangle_template() function
libctf-nobfd0	2.40-2	CVE-2018-20712	LOW	libiberty: heap-based buffer over-read in d_expression_1
libctf-nobfd0	2.40-2	CVE-2018-9996	LOW	binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
libctf-nobfd0	2.40-2	CVE-2021-32256	LOW	binutils: stack-overflow issue in demangle_type in rust-demangle.c.
libctf-nobfd0	2.40-2	CVE-2023-1972	LOW	binutils: Illegal memory access when accessing a zer0-lengthverdef table
libctf-nobfd0	2.40-2	CVE-2024-53589	LOW	binutils: objdump: buffer Overflow in the BFD library's handling of tekhex format files
libctf-nobfd0	2.40-2	CVE-2024-57360	LOW	binutils: nm: potential segmentation fault when displaying symbols without version info
libctf-nobfd0	2.40-2	CVE-2025-0840	LOW	binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow
libctf-nobfd0	2.40-2	CVE-2025-1147	LOW	binutils: GNU Binutils nm nm.c internal_strlen buffer overflow
libctf-nobfd0	2.40-2	CVE-2025-1148	LOW	binutils: GNU Binutils ld ldelfgen.c link_order_scan memory leak
libctf-nobfd0	2.40-2	CVE-2025-1149	LOW	binutils: GNU Binutils ld xmalloc.c xstrdup memory leak
libctf-nobfd0	2.40-2	CVE-2025-1150	LOW	binutils: GNU Binutils ld libbfd.c bfd_malloc memory leak
libctf-nobfd0	2.40-2	CVE-2025-1151	LOW	binutils: GNU Binutils ld xmemdup.c xmemdup memory leak
libctf-nobfd0	2.40-2	CVE-2025-1152	LOW	binutils: GNU Binutils ld xstrdup.c xstrdup memory leak
libctf-nobfd0	2.40-2	CVE-2025-1153	LOW	binutils: GNU Binutils format.c bfd_set_format memory corruption
libctf-nobfd0	2.40-2	CVE-2025-1176	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec heap-based overflow
libctf-nobfd0	2.40-2	CVE-2025-1178	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libctf-nobfd0	2.40-2	CVE-2025-1179	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libctf-nobfd0	2.40-2	CVE-2025-1180	LOW	binutils: GNU Binutils ld elf-eh-frame.c _bfd_elf_write_section_eh_frame memory corruption
libctf-nobfd0	2.40-2	CVE-2025-1181	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec memory corruption
libctf-nobfd0	2.40-2	CVE-2025-1182	LOW	binutils: GNU Binutils ld elflink.c bfd_elf_reloc_symbol_deleted_p memory corruption
libctf-nobfd0	2.40-2	CVE-2025-3198	LOW	binutils: GNU Binutils objdump bucomm.c display_info memory leak
libctf0	2.40-2	CVE-2017-13716	LOW	binutils: Memory leak with the C++ symbol demangler routine in libiberty
libctf0	2.40-2	CVE-2018-20673	LOW	libiberty: Integer overflow in demangle_template() function
libctf0	2.40-2	CVE-2018-20712	LOW	libiberty: heap-based buffer over-read in d_expression_1
libctf0	2.40-2	CVE-2018-9996	LOW	binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
libctf0	2.40-2	CVE-2021-32256	LOW	binutils: stack-overflow issue in demangle_type in rust-demangle.c.
libctf0	2.40-2	CVE-2023-1972	LOW	binutils: Illegal memory access when accessing a zer0-lengthverdef table
libctf0	2.40-2	CVE-2024-53589	LOW	binutils: objdump: buffer Overflow in the BFD library's handling of tekhex format files
libctf0	2.40-2	CVE-2024-57360	LOW	binutils: nm: potential segmentation fault when displaying symbols without version info
libctf0	2.40-2	CVE-2025-0840	LOW	binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow
libctf0	2.40-2	CVE-2025-1147	LOW	binutils: GNU Binutils nm nm.c internal_strlen buffer overflow
libctf0	2.40-2	CVE-2025-1148	LOW	binutils: GNU Binutils ld ldelfgen.c link_order_scan memory leak
libctf0	2.40-2	CVE-2025-1149	LOW	binutils: GNU Binutils ld xmalloc.c xstrdup memory leak
libctf0	2.40-2	CVE-2025-1150	LOW	binutils: GNU Binutils ld libbfd.c bfd_malloc memory leak
libctf0	2.40-2	CVE-2025-1151	LOW	binutils: GNU Binutils ld xmemdup.c xmemdup memory leak
libctf0	2.40-2	CVE-2025-1152	LOW	binutils: GNU Binutils ld xstrdup.c xstrdup memory leak
libctf0	2.40-2	CVE-2025-1153	LOW	binutils: GNU Binutils format.c bfd_set_format memory corruption
libctf0	2.40-2	CVE-2025-1176	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec heap-based overflow
libctf0	2.40-2	CVE-2025-1178	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libctf0	2.40-2	CVE-2025-1179	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libctf0	2.40-2	CVE-2025-1180	LOW	binutils: GNU Binutils ld elf-eh-frame.c _bfd_elf_write_section_eh_frame memory corruption
libctf0	2.40-2	CVE-2025-1181	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec memory corruption
libctf0	2.40-2	CVE-2025-1182	LOW	binutils: GNU Binutils ld elflink.c bfd_elf_reloc_symbol_deleted_p memory corruption
libctf0	2.40-2	CVE-2025-3198	LOW	binutils: GNU Binutils objdump bucomm.c display_info memory leak
libcurl3-gnutls	7.88.1-10+deb12u12	CVE-2024-2379	LOW	curl: QUIC certificate check bypass with wolfSSL
libcurl3-gnutls	7.88.1-10+deb12u12	CVE-2025-0725	LOW	libcurl: Buffer Overflow in libcurl via zlib Integer Overflow
libcurl4	7.88.1-10+deb12u12	CVE-2024-2379	LOW	curl: QUIC certificate check bypass with wolfSSL
libcurl4	7.88.1-10+deb12u12	CVE-2025-0725	LOW	libcurl: Buffer Overflow in libcurl via zlib Integer Overflow
libexpat1	2.5.0-1+deb12u1	CVE-2023-52425	HIGH	expat: parsing large tokens can trigger a denial of service
libexpat1	2.5.0-1+deb12u1	CVE-2024-8176	HIGH	libexpat: expat: Improper Restriction of XML Entity Expansion Depth in libexpat
libexpat1	2.5.0-1+deb12u1	CVE-2024-50602	MEDIUM	libexpat: expat: DoS via XML_ResumeParser
libexpat1	2.5.0-1+deb12u1	CVE-2023-52426	LOW	expat: recursive XML entity expansion vulnerability
libexpat1	2.5.0-1+deb12u1	CVE-2024-28757	LOW	expat: XML Entity Expansion
libgcc-12-dev	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libgcc-12-dev	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libgcc-s1	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libgcc-s1	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libgcrypt20	1.10.1-3	CVE-2018-6829	LOW	libgcrypt: ElGamal implementation doesn't have semantic security due to incorrectly encoded plaintexts possibly allowing to obtain sensitive information
